MoonSat.A1ModJulian       MoonSat.MoonInertial.INC   MoonSat.Luna.RadApo       RadApo                    INC                       I                         MAX                       MIN                       MoonSat.Luna.Altitude     
29794.2770929747          75.88900919406179          6737.619435461751         6738                      80                        1                         -31.57126548398196        10000000000000            -31.57126548398196        
29794.56186725205         75.90518529961098          6736.908433340852         6738                      80                        2                         -30.88441972055375        10000000000000            -30.88441972055375        
29794.84664185308         75.92332775818154          6736.092186598932         6738                      80                        3                         -30.0969222200938         10000000000000            -30.0969222200938         
29794.27414754338         76.93554523320431          6737.668607962404         6738                      81                        1                         -31.11457995831802        10000000000000            -31.11457995831802        
29794.5589448722          76.95172041089982          6737.019279176912         6738                      81                        2                         -30.48985840716432        10000000000000            -30.48985840716432        
29794.84374257982         76.96987467277825          6736.272704391265         6738                      81                        3                         -29.77260453200142        10000000000000            -29.77260453200142        
29794.27128827185         77.94566575388397          6737.715822901683         6738                      82                        1                         -30.90478065806883        10000000000000            -30.90478065806883        
29794.55609640719         77.96183672264991          6737.125983934608         6738                      82                        2                         -30.33992643373085        10000000000000            -30.33992643373085        
29794.84090496703         77.97999818360694          6736.44654003453          6738                      82                        3                         -29.69028414417267        10000000000000            -29.69028414417267        
29794.26847171269         78.93871175584656          6737.762643926509         6738                      83                        1                         -30.67797769202525        10000000000000            -30.67797769202525        
29794.5532917587          78.95487175375745          6737.231499922146         6738                      83                        2                         -30.17213060941162        10000000000000            -30.17213060941162        
29794.83811226547         78.97303315242529          6736.61829219403          6738                      83                        3                         -29.58912994546381        10000000000000            -29.58912994546381        
29794.26538084262         80.026523998428            6737.8143947295           6738                      84                        1                         -30.40748347274257        10000000000000            -30.40748347274257        
29794.55021533608         80.04266427656307          6737.347771903151         6738                      84                        2                         -29.96643377894861        10000000000000            -29.96643377894861        
29794.83505031999         80.06081752898852          6736.807377775787         6738                      84                        3                         -29.45661385461676        10000000000000            -29.45661385461676        
29794.26250173055         81.03776630268237          6737.862836202934         6738                      85                        1                         -30.1751515911476         10000000000000            -30.1751515911476         
29794.5473489544          81.05388132007784          6737.456339647901         6738                      85                        2                         -29.79442284455581        10000000000000            -29.79442284455581        
29794.8321966869          81.07201961512671          6736.983786699066         6738                      85                        3                         -29.352714021775          10000000000000            -29.352714021775          
29794.25964456277         82.03926566621232          6737.911025114116         6738                      86                        1                         -30.000741727491          10000000000000            -30.000741727491          
29794.54450182956         82.05534908038226          6737.564142829677         6738                      86                        2                         -29.67976526488155        10000000000000            -29.67976526488155        
29794.82935961416         82.07346546435798          6737.158832091101         6738                      86                        3                         -29.30549941933282        10000000000000            -29.30549941933282        
29794.25676162686         83.04911282245647          6737.960083944941         6738                      87                        1                         -29.78300780727227        10000000000000            -29.78300780727227        
29794.54163140162         83.06515718772457          6737.673503659229         6738                      87                        2                         -29.52241584601779        10000000000000            -29.52241584601779        
29794.82650169396         83.08324393368568          6737.336215646467         6738                      87                        3                         -29.21630938180806        10000000000000            -29.21630938180806        
29794.25385800432         84.06569918162766          6738.009937574788         6738                      88                        1                         -29.5233205117454         10000000000000            -29.5233205117454         
29794.53874268792         84.08169717642917          6737.78423972865          6738                      88                        2                         -29.3236424465988         10000000000000            -29.3236424465988         
29794.82362787908         84.0997466228722           6737.515633551087         6738                      88                        3                         -29.08629376417252        10000000000000            -29.08629376417252        
29794.25085299414         85.11755063396898          6738.062252898062         6738                      89                        1                         -29.20729021253465        10000000000000            -29.20729021253465        
29794.53575579593         85.1334934478482           6737.899731940099         6738                      89                        2                         -29.07077106247698        10000000000000            -29.07077106247698        
29794.82065908453         85.15149664122855          6737.702402553746         6738                      89                        3                         -28.90471529154797        10000000000000            -28.90471529154797        
29794.24787475345         86.16017892343486          6738.115068104953         6738                      90                        1                         -28.82931042362384        10000000000000            -28.82931042362384        
29794.53279909996         86.1760601740006           6738.01536555128          6738                      90                        2                         -28.75554575788533        10000000000000            -28.75554575788533        
29794.81772390209         86.19401017690991          6737.888918765731         6738                      90                        3                         -28.66033181693388        10000000000000            -28.66033181693388        
29794.24501394046         87.15890276532412          6738.165406093121         6738                      91                        1                         -28.77500213309099        10000000000000            -28.77500213309099        
29794.52994359897         87.17471678065111          6738.12549357322          6738                      91                        2                         -28.76091833986698        10000000000000            -28.76091833986698        
29794.81487367332         87.19260661876318          6738.066406697571         6738                      91                        3                         -28.73296443158688        10000000000000            -28.73296443158688        
29794.2420072115          88.20936457317694          6738.218728161828         6738                      92                        1                         -28.66924224098125        10000000000000            -28.66924224098125        
29794.52694519469         88.22510025089696          6738.241837679757         6738                      92                        2                         -28.71802719292055        10000000000000            -28.71802719292055        
29794.81188354088         88.24291868791315          6738.253756199954         6738                      92                        3                         -28.76092270977597        10000000000000            -28.76092270977597        
29794.23910093327         89.22848478390098          6738.271423058623         6738                      93                        1                         -28.15250595603379        10000000000000            -28.15250595603379        
29794.52406824333         89.24414101468196          6738.356348153717         6738                      93                        2                         -28.26293638304173        10000000000000            -28.26293638304173        
29794.80903585439         89.26188658563835          6738.438040102923         6738                      93                        3                         -28.37541934891556        10000000000000            -28.37541934891556        
29794.23614760542         90.26307905125007          6738.324804360194         6738                      94                        1                         -27.84855268648971        10000000000000            -27.84855268648971        
29794.52113378364         90.27864604451915          6738.472204695851         6738                      94                        2                         -28.02123070787116        10000000000000            -28.02123070787116        
29794.80612018999         90.29630815233341          6738.624333440572         6738                      94                        3                         -28.20389083304735        10000000000000            -28.20389083304735        
29794.23315771345         91.31008834144328          6738.378743085196         6738                      95                        1                         -27.76368026972205        10000000000000            -27.76368026972205        
29794.51815197838         91.32555500138915          6738.589110262788         6738                      95                        2                         -27.99900519731023        10000000000000            -27.99900519731023        
29794.80314638881         91.34312172981754          6738.812135409873         6738                      95                        3                         -28.25219558394633        10000000000000            -28.25219558394633        
29794.23021137772         92.34480702378514          6738.432772749931         6738                      96                        1                         -27.45573283481167        10000000000000            -27.45573283481167        
29794.51522526499         92.36017053015331          6738.705786216139         6738                      96                        2                         -27.75329876222327        10000000000000            -27.75329876222327        
29794.80023920888         92.37763848838112          6738.999399278458         6738                      96                        3                         -28.07661687879113        10000000000000            -28.07661687879113        
29794.22729480039         93.37218022581786          6738.487194358189         6738                      97                        1                         -26.89204079874821        10000000000000            -26.89204079874821        
29794.51234151615         93.38743945382915          6738.822862005893         6738                      97                        2                         -27.25176754027166        10000000000000            -27.25176754027166        
29794.79738819401         93.40480691120253          6739.187140103204         6738                      97                        3                         -27.64519484608013        10000000000000            -27.64519484608013        
29794.22434067299         94.41343698820069          6738.542314793344         6738                      98                        1                         -26.52815123386949        10000000000000            -26.52815123386949        
29794.50941042205         94.42858088276867          6738.941244548522         6738                      98                        2                         -26.95052211131178        10000000000000            -26.95052211131178        
29794.79448003046         94.44583589483969          6739.376773111696         6738                      98                        3                         -27.41450928543441        10000000000000            -27.41450928543441        
29794.22140352063         95.45074003517769          6738.597441622786         6738                      99                        1                         -26.20925718400463        10000000000000            -26.20925718400463        
