MoonSat.A1ModJulian       RadApo                    MoonSat.Luna.RadApo       INC                       MoonSat.MoonInertial.INC   MoonSat.Luna.Altitude     DeltaV                    
28224.14679494774         3737                      3736.995774180126         90                        82.06392652117877          -525.0659987472034        0.2072334430087723        
28224.14688198573         3737                      3737.022867058772         91                        83.08156240446724          -525.2836563449012        0.2199307978500573        
28224.14703591607         3737                      3737.049375839797         92                        84.11392320905968          -525.5465697268787        0.2331724082529947        
28224.1472427195          3737                      3737.075559947756         93                        85.14898489473885          -525.7819867671731        0.2464569197897137        
28224.14750210814         3737                      3737.10139208719          94                        86.18636909098778          -525.9906257483656        0.2597734212114278        
28224.1478138157          3737                      3737.126874235859         95                        87.22604835703143          -526.1732204580269        0.2731152755741131        
28224.14817771237         3737                      3737.151976487235         96                        88.26790827993509          -526.3313970991128        0.2864791913616258        
28224.1485935595          3737                      3737.176714307558         97                        89.31222452010114          -526.4655436789301        0.29986061075016          
28224.14906101001         3737                      3737.20105604117          98                        90.35854659798723          -526.5768824814538        0.3132503460147855        
28224.14957982503         3737                      3737.225005391765         99                        91.40686807850129          -526.666494895911         0.3266440609048167        
28224.15031935208         3737                      3738.217344063864         100                       92.46158179486127          -526.2552801061008        0.3407426914987921        
28224.15093671416         3737                      3738.221159332741         101                       93.51399158599259          -526.3145852631317        0.3541086487378853        
28224.15160451034         3737                      3738.224114209338         102                       94.56827778482881          -526.3551590682566        0.3674626459027324        
28224.15232241244         3737                      3738.226317922668         103                       95.62448639108077          -526.3773739181836        0.3807983955320002        
28224.15309027081         3737                      3738.227752200235         104                       96.68258164364733          -526.3829766452491        0.3941148742758875        
28224.1539075793          3737                      3738.228555672217         105                       97.74247549053901          -526.3718661835014        0.4074022493925731        
28224.15477410288         3737                      3738.228714226789         106                       98.80405287362152          -526.3457673756623        0.4206585674127559        
28224.15568940189         3737                      3738.228303046324         107                       99.86726702787327          -526.3051036860934        0.4338770882906244        
28224.15665310714         3737                      3738.22739940495          108                       100.9320774306188          -526.2505367977246        0.4470523632713295        
28224.15766504452         3737                      3738.226028985975         109                       101.9986337556754          -526.1829743961894        0.4601825385149956        
28224.15872452702         3737                      3738.224252769912         110                       103.0665827570232          -526.1031101521994        0.4732585514963947        
28224.1598313645          3737                      3738.222076164269         111                       104.1360390590242          -526.0120867388291        0.4862792995101541        
28224.16098512397         3737                      3738.219579061571         112                       105.2070026855159          -525.9101632419311        0.4992386403787452        
28224.16218515116         3737                      3738.216787323396         113                       106.2791865693412          -525.7982575350702        0.5121297653197696        
28224.16343137938         3737                      3738.213718767482         114                       107.3528588763652          -525.6772368933732        0.5249525966345578        
28224.16472315614         3737                      3738.210445389756         115                       108.4278490222578          -525.5473258985644        0.5376992381968593        
28224.16606025564         3737                      3738.207015812566         116                       109.5043256609435          -525.4089025464989        0.5503667578568108        
28224.16744171661         3737                      3738.20335870271          117                       110.5817052159018          -525.2639631599118        0.5629492236789426        
28224.16886758696         3737                      3738.199586515808         118                       111.6604940570901          -525.1119246849646        0.5754443917443277        
28224.17033704304         3737                      3738.19564806611          119                       112.7402811066448          -524.9544847757672        0.5878475418650815        
28224.17184983682         3737                      3738.191663069264         120                       113.8213418560191          -524.7909678988538        0.6001535632957551        
28224.17332694511         3737                      3738.196474030287         121                       114.8622858852558          -524.4946171970071        0.6114266079634225        
28224.17492435954         3737                      3738.191918680448         122                       115.9458028967115          -524.3250944397189        0.6235559026911008        
28224.17656459405         3737                      3738.187317446676         123                       117.0310541426364          -524.1517258946192        0.6355843352684643        
28224.1782463331          3737                      3738.182733222413         124                       118.1175214055146          -523.9743979871143        0.6474999774433068        
28224.17996870959         3737                      3738.178142426028         125                       119.2048946304607          -523.7943775922649        0.6592983309575562        
28224.18173118565         3737                      3738.173501876764         126                       120.2930889503467          -523.6129828749547        0.6709775198463983        
28224.18353368195         3737                      3738.168996475079         127                       121.3826064656701          -523.4275699640357        0.682529985825949         
28224.18537486333         3737                      3738.164416101371         128                       122.4726443858211          -523.2427298356829        0.6939562211983066        
28224.18725486636         3737                      3738.15995039337          129                       123.5638548970593          -523.0552724170859        0.7052491322829164        
28224.18917255764         3737                      3738.155469882289         130                       124.6557038937925          -522.8684021466643        0.7164077437155534        
28224.19112770266         3737                      3738.151043928551         131                       125.7484516864851          -522.6812117638326        0.7274279237843848        
28224.19311962141         3737                      3738.146687892016         132                       126.842037307255           -522.4938623804633        0.7383052172892834        
28224.19514755494         3737                      3738.142336905654         133                       127.9362700027776          -522.3081676034342        0.7490382900157904        
28224.19721138784         3737                      3738.138109822372         134                       129.0315295895306          -522.1218489707412        0.7596213366640339        
28224.19930986636         3737                      3738.133874338663         135                       130.1272795280956          -521.9385683100659        0.7700540331022405        
28224.20144290181         3737                      3738.129737742417         136                       131.2239028161651          -521.7560855880167        0.7803311389286123        
28224.20360956656         3737                      3738.125652272329         137                       132.321140717533           -521.5763480661749        0.79045090660178          
28224.20580915675         3737                      3738.121584727366         138                       133.4188988313357          -521.4006269482341        0.8004114672663762        
28224.20804151131         3737                      3738.117645720633         139                       134.5175239544096          -521.2259769356253        0.8102065345549088        
28224.21030577248         3737                      3738.113764203048         140                       135.6167922968252          -521.0547901759362        0.8198356203073169        
28224.21260124763         3737                      3738.109942079438         141                       136.7166408215132          -520.8876525736403        0.8292959920855392        
28224.21492747109         3737                      3738.10618633897          142                       137.8171622548534          -520.7239239986736        0.8385841322415222        
28224.21728375235         3737                      3738.102516495787         143                       138.9182954811456          -520.5642333800374        0.8476975587693751        
28224.2196695477          3737                      3738.098898596801         144                       140.0200440518505          -520.4091062174143        0.8566342335189561        
28224.22208426397         3737                      3738.095346525753         145                       141.1224082951313          -520.2587366600303        0.8653914760533117        
28224.22452732739         3737                      3738.091863564946         146                       142.2253896549132          -520.1130197460823        0.8739664058259105        
28224.22699812145         3737                      3738.088442469556         147                       143.3289429916326          -519.9732055148595        0.8823575291628014        
28224.22949617864         3737                      3738.085087695563         148                       144.4331215129635          -519.8386680594329        0.8905617729008653        
28224.2320211185          3737                      3738.081819390924         149                       145.538003848831           -519.7087729984996        0.8985765352097148        
28224.23457219411         3737                      3738.078614616672         150                       146.6434562652416          -519.585381613243         0.9064003636968567        
28224.23714918017         3737                      3738.075475882915         151                       147.7495991544531          -519.4678846105082        0.9140310203739104        
28224.55165813924         4237                      4237.023464481451         90                        83.30512638615399          -357.9942924963982        0.5102230560525274        
28224.55160160929         4237                      4237.064070391202         91                        84.32347292876945          -358.6722851399115        0.520310857446479         
28224.5515688512          4237                      4237.10860549408          92                        85.36841098759739          -359.0327004165845        0.5304687751056578        
28224.55149360551         4237                      4237.153225003604         93                        86.41572766975905          -359.3509184923805        0.5405959311740847        
28224.55137148938         4237                      4237.197713271271         94                        87.46450233716007          -359.6462402705581        0.5506885955468386        
28224.55120224581         4237                      4237.242109528031         95                        88.51502016134457          -359.9201811672417        0.5607462586096406        
28224.55098588458         4237                      4237.286441218811         96                        89.56716330022928          -360.173147201753         0.5707641154492229        
28224.55072237008         4237                      4237.330721032176         97                        90.62074520435131          -360.4059821217652        0.5807369402174274        
28224.5505551367          4237                      4238.27851834881          98                        91.67823981772484          -360.378187121431         0.5908207017023694        
28224.55018179971         4237                      4238.224002675994         99                        92.73460400820746          -360.5979397120723        0.6006718428556268        
28224.54976224267         4237                      4238.17207899046          100                       93.79266634905379          -360.7959763743552        0.6104709221053795        
28224.54916866554         4237                      4238.083744633322         101                       94.96248553175516          -361.3175277251091        0.6212925868551449        
28224.54866995718         4237                      4238.047262241394         102                       96.01220383590014          -361.4212214818097        0.6308472503739087        
28224.54813460278         4237                      4238.020061438027         103                       97.07416744403811          -361.4451512832445        0.6404285333300592        
28224.5475575587          4237                      4237.99792908309          104                       98.13570703694629          -361.435846142371         0.6499291559396998        
28224.5469354044          4237                      4237.980111214916         105                       99.19830123339773          -361.4060408113755        0.6593621759917863        
28224.54626700421         4237                      4237.966533573233         106                       100.2613006723804          -361.3638374697832        0.6687200356672882        
28224.54554151212         4237                      4237.938474481655         107                       101.2346418648159          -361.6387562100188        0.6772428304163591        
28224.54475471475         4237                      4237.930856286276         108                       102.3022134550128          -361.7000249871578        0.6864802625018081        
28224.54392644044         4237                      4237.932417310736         109                       103.3711895332984          -361.7296160679466        0.6956348570584794        
28224.54305419815         4237                      4237.942790712114         110                       104.4410017019908          -361.7418167916235        0.7047000687736915        
28224.54213834172         4237                      4237.962410302721         111                       105.5118114621185          -361.7359173553452        0.7136746387451884        
28224.54117940816         4237                      4237.991605028208         112                       106.5835847689011          -361.7110465715416        0.7225557967927316        
28224.54006731161         4237                      4237.333570453219         113                       107.6548380067143          -361.8513965761824        0.7312873347340867        
28224.53905547729         4237                      4238.084362509278         114                       108.7236697131297          -362.0011524838917        0.7399375304413238        
28224.53795652692         4237                      4238.149544372181         115                       109.7975633156717          -361.9885255705663        0.748499713455508         
28224.53681518217         4237                      4238.226748178576         116                       110.8721838880796          -361.9627072809519        0.7569531920563677        
28224.53563185801         4237                      4238.31612261489          117                       111.9477869492369          -361.9221318015375        0.7652978179443952        
28224.53440652145         4237                      4238.417944220439         118                       113.0241679007648          -361.8698092012801        0.773529148659301         
28224.53313939868         4237                      4238.532493236884         119                       114.1010918553235          -361.8079433439925        0.7816425704974175        
28224.53183108698         4237                      4238.65969367959          120                       115.1788714767105          -361.7337269034254        0.7896388102776648        
28224.53048207125         4237                      4238.79955357282          121                       116.2574063401241          -361.6472300760388        0.7975150338517296        
28224.52909258275         4237                      4238.952046632463         122                       117.3366973167626          -361.5492475006761        0.8052690473016728        
28224.52766224709         4237                      4239.117910233314         123                       118.4163588799378          -361.4464940939856        0.8128938721063708        
28224.52619226084         4237                      4239.296373456328         124                       119.4966859447526          -361.3329666188954        0.8203916227841732        
28224.52468336942         4237                      4239.486909686381         125                       120.5777324932597          -361.2063935647136        0.8277619177384512        
28224.52294919788         4237                      4238.510398797455         126                       121.6574812236947          -361.3768464510019        0.8350054129760756        
28224.52133444873         4237                      4238.539863096671         127                       122.7398742352579          -361.2711409874844        0.8421263722945576        
