Sat.MoonMJ2000Eq.INC      Sat.Luna.RadPer           BurnDuration              
14.85513718793377         400015.253747232          0                         
14.85453104691546         400030.3055334184         0                         
14.85288700772375         400071.6215870536         0                         
14.84712044889265         400223.006679365          0                         
14.83265082697159         400674.3227567827         0                         
14.82220046499836         401718.8233105788         0                         
14.8949667591147          402839.8215110846         0                         
15.03447463836727         403386.5800767011         0                         
15.19966279624019         403715.4536702927         0                         
15.35555640500273         403976.0231019356         0                         
15.50977687024328         404257.0028657481         0                         
15.6609118985708          404579.7567510854         0                         
15.80922979390884         404950.7744242848         0                         
15.95550554911906         405370.0699400921         0                         
16.10070774735316         405834.9868586219         0                         
16.24587141213658         406341.8117563992         0                         
16.39205346395848         406886.4453018294         0                         
16.5403150786999          407464.612760995          0                         
16.69171940859702         408071.8655538933         0                         
16.84733628347327         408703.4821495898         0                         
17.00825049168835         409354.3201262695         0                         
17.17557168773771         410018.6407670845         0                         
17.35044825328849         410689.9261737039         0                         
17.53407884597193         411360.6647482939         0                         
17.72773504273989         412022.1495847763         0                         
17.93277915705902         412664.2163652042         0                         
18.15068908976253         413274.9516166657         0                         
18.41149530339164         413903.2087961944         0                         
18.66189698524314         414397.6015747411         0                         
18.96357454286638         414849.6813600147         0                         
19.25618708744153         415138.5980761793         0                         
19.61039889463531         415294.307712341          0                         
19.94453095997632         415251.4072956381         0                         
20.36345632681415         414946.8959001212         0                         
20.83461138789326         414286.9399985056         0                         
21.30643869522904         413308.946390391          0                         
21.80104697559984         411965.9314474213         0                         
22.3215155291801          410227.5765049428         0                         
22.87797009879764         408031.0900027462         0                         
23.54851764404078         404966.0577252363         0                         
24.29109506494739         401101.6573082871         0                         
25.11333478442809         396329.595524348          0                         
26.03259725404466         390488.1405282619         0                         
26.91679659306792         384468.4951872473         0                         
27.96437235700988         376955.1859946332         0                         
28.58719328714836         372344.4281108482         0                         
28.77910469350291         370907.2585870836         0                         
28.96739800814995         369490.8305047651         0                         
29.18939171170155         367813.6638934643         0                         
29.95688060137308         361968.1495591074         0                         
31.16483183966614         352689.2988695156         0                         
32.5746844836328          341878.007289864          0                         
34.17790663976268         329785.42327463           0                         
36.03225440110909         316258.2626414435         0                         
38.23463477582493         301027.9246437444         0                         
40.86338613582011         284201.8602874622         0                         
43.77342136469564         267355.8099943253         0                         
43.93980700112996         266448.4189110072         0                         
44.43416702306872         261523.6052055307         0                         
47.32912596889089         246969.0226988106         0                         
50.70388889655467         232071.8889085126         0                         
51.97282907519063         226996.1905247643         0                         
53.21869832597391         222271.3664248706         0                         
55.68664472229044         213618.8722484562         0                         
59.99967564438477         200518.1557681003         0                         
65.0429634059392          187972.2243345165         0                         
70.01535288581403         178020.967126479          0                         
75.00865062206535         170032.511003283          0                         
80.09531180885513         163639.418236013          0                         
85.27941407513255         158685.0082119248         0                         
90.52946663115208         155084.2949174037         0                         
95.79310315025869         152772.4142989981         0                         
100.9988739294955         151683.1051097918         0                         
106.050054757176          151728.6455520045         0                         
110.8277695308409         152772.4606436043         0                         
115.2384848606078         154626.3154131797         0                         
119.252995045907          157096.32991997           0                         
122.8887932550334         160020.986625731          0                         
126.5206464011261         163646.3365362024         0                         
129.4922530202123         167177.804031874          0                         
132.3089148655423         171030.6357840017         0                         
134.7766871133367         174836.0237361756         0                         
136.9337917719612         178505.8058301595         0                         
138.8273865986572         181995.7592409758         0                         
140.4973974068065         185277.3964458391         0                         
141.9766131443956         188331.1776386022         0                         
143.291889561308          191142.9828651252         0                         
144.4653256393302         193701.9746848531         0                         
145.5152611079147         195999.253181166          0                         
146.4570231659032         198026.8234895241         0                         
147.30356072481           199776.9124748572         0                         
148.0657965503657         201241.095092236          0                         
148.7530141008964         202409.8092504318         0                         
149.3731989549815         203271.9348995581         0                         
149.9332205489979         203814.1621474834         0                         
150.4389879180335         204020.4106845709         0                         
150.8956202316617         203871.2605597746         0                         
151.3075751555507         203343.2243246888         0                         
151.6787038731918         202407.9673709919         0                         
152.012367157821          201031.3312348284         0                         
152.3114740119311         199172.2679317836         0                         
152.5785293859333         196781.6643769154         0                         
152.8157005125139         193800.6800274778         0                         
153.0248069484096         190159.5391343658         0                         
153.2073563329395         185775.935190636          0                         
153.364536802904          180554.19731122           0                         
153.4972156153364         174384.8015441302         0                         
153.6058800699686         167146.9644741054         0                         
153.6905717238459         158713.6377082168         0                         
153.7507294310632         148963.193211225          0                         
153.7849105017917         137800.3024138363         0                         
153.7902735620883         125186.7072005208         0                         
153.7615575834133         111185.5664722804         0                         
153.6890204738426         96010.83685083508         0                         
153.5539861015895         80064.3491229089          0                         
153.3187297801192         63946.24485061966         0                         
152.9016400384637         48402.7551877344          0                         
152.112584112358          34235.05450366969         0                         
150.4778441477005         22196.11390020926         0                         
148.8486582211652         16752.54616296331         0                         
148.8387268467394         16728.09565977404         0                         
148.8079573263256         16652.82676171581         0                         
148.7121363749503         16423.01154222763         0                         
148.4532855766846         15834.79333613189         0                         
147.8367667138132         14599.09481575437         0                         
146.5070442643296         12519.88942106187         0                         
143.2763539516598         9345.404860046565         0                         
137.0350686257844         6314.511540743479         0                         
128.3785434043735         4414.808948835133         0                         
117.9605364840799         3351.575226937471         0                         
107.396961500507          2839.268508205638         0                         
98.30715818423155         2644.737126414869         0                         
91.41381498807412         2607.715321480849         0                         
87.41229100210627         2626.264853992135         0                         
84.87841891321439         2653.434987816846         0                         
83.25524956467046         2677.302803199277         0                         
82.19938180844137         2695.553560860446         0                         
81.50226519258156         2708.735652476921         0                         
81.03580038171727         2718.003549261528         0                         
